curated 1000 rows from 646 documents
level 0: 108 probes
    r.4.0.3: repl 0.944 class rep 0.019 n=864 tokens ['3', 'H', '9', '9', '\n', '6']
  r.4.1: repl 0.973 class subword 0.014 n=5760 tokens ['2008', ':', 'Photo', 'ties', ':', ':']
    r.4.1.0: repl 0.798 class newline 0.423 n=864 tokens ['{', '\r', ' {', ' {', ';', '{']
    r.4.1.1: repl 0.797 class newline 0.038 n=864 tokens [' ', ' ', ' ', 'Roger', ' ', ' star']
    r.4.1.2: repl 0.987 class other 0.02 n=864 tokens ['{', 'H', ' nil', '\n', '1', ' 0']
    r.4.1.3: repl 0.911 class newline 0.006 n=864 tokens ['c', ' 0', '0', '###', 'ink', ' 1']
  r.4.2: repl 0.792 class newline 0.03 n=5760 tokens [' careers', '\n\n', 'th', '------', '\n', '------']
    r.4.2.0: repl 0.998 class newline 0.062 n=864 tokens ['H', 's', 's', ' Oracle', ' *', ' *']
    r.4.2.1: repl 0.96 class ind 0.007 n=864 tokens ['7', 'B', ' for', '\n', '\n', '309']
    r.4.2.2: repl 0.962 class newline 0.014 n=864 tokens ['H', ' I', '{', '\n\n', '\n', '.']
    r.4.2.3: repl 0.96 class ind 0.008 n=864 tokens ['\n', '.', '\n', '\n', '2008', '\n']
  r.4.3: repl 0.809 class sentend 0.048 n=5760 tokens ['7', '5', ' spur', 'otypes', '238', 'levision']
    r.4.3.0: repl 0.926 class sentend 0.168 n=864 tokens ['87', ' NO', ' 9', ' java', 'AR', '2']
    r.4.3.1: repl 0.921 class newline 0.023 n=864 tokens [' Teen', 's', 'Male', 'History', 's', 'ography']
    r.4.3.2: repl 0.559 class newline 0.015 n=864 tokens ['1', ' game', '0', ' int', ' Well', 'P']
    r.4.3.3: repl 0.44 class newline 0.105 n=864 tokens ['ampton', '\n', '\n', '\n', '\n', '\n']
r.5: repl 0.976 class rep 0.005 n=38400 tokens [':', 'imedia', '\n', '9', '\n', '2013']
  r.5.0: repl 0.987 class newline 0.106 n=5760 tokens ['--------------', 'P', 'xml', ':', '>', ':']
    r.5.0.0: repl 0.988 class newline 0.321 n=864 tokens ['H', 's', 'D', '------', 'W', '\n']
    r.5.0.1: repl 0.981 class ind 0.045 n=864 tokens ['{', '[[', '\n', '~', ' 2001', '--------------']
    r.5.0.2: repl 0.36 class rep 0.035 n=864 tokens ['.', '3', '.', '250', '\n', '}']
    r.5.0.3: repl 0.452 class rep 0.029 n=864 tokens ['6', '}', '\n\n', ' for', '};', ' ']
  r.5.1: repl 0.986 class newline 0.187 n=5760 tokens ['ION', 'TS', ':', '[]', ' ', 'aries']
    r.5.1.0: repl 0.258 class newline 0.343 n=864 tokens ['\n', '\n', 'TS', '\n', 'javascript', '2']
    r.5.1.1: repl 0.256 class other 0.009 n=864 tokens ['W', 'Size', ' is', 'GS', '\n', '\n']
    r.5.1.2: repl 0.945 class newline 0.079 n=864 tokens ['\n', '\n', 's', ' Introduction', 'v', 'TS']
    r.5.1.3: repl 0.642 class newline 0.009 n=864 tokens [');', 'BIP', '\n', ' ', '\n', '\n']
  r.5.2: repl 0.993 class rep 0.034 n=5761 tokens ['2', '}', '\n', ' ', '\n', '\n']
    r.5.2.0: repl 0.983 class newline 0.289 n=865 tokens [' star', '--------------', ' ""', '/**', '\n', '/**']
    r.5.2.1: repl 0.973 class rep 0.09 n=865 tokens ['11', ')', '0', '3', '\n', '40']
    r.5.2.2: repl 0.454 class rep 0.03 n=865 tokens [' */', ':', ' Texas', '{', 's', '60']
    r.5.2.3: repl 0.423 class subword 0.089 n=865 tokens ['RA', ';', '\n', 'BIP', '>', '\n']
  r.5.3: repl 0.812 class newline 0.052 n=5760 tokens ['.', 'Size', '429', '\n', '\n', '\n']
    r.5.3.0: repl 0.951 class newline 0.232 n=864 tokens ['\n', '-', '\n', '------', '\n', 'Size']
    r.5.3.1: repl 0.958 class subword 0.026 n=864 tokens ['s', '\n', '.', ':', '\n', '\n']
    r.5.3.2: repl 0.845 class newline 0.051 n=864 tokens ['\n', '1', 'th', 'th', '{', '\n']
    r.5.3.3: repl 0.846 class newline 0.048 n=864 tokens [' for', '\n', '96', '7', '238', 'Statistics']
r.6: repl 0.977 class newline 0.011 n=38400 tokens ['000000', 'ani', ' description', '};', 'D', ' career']
  r.6.0: repl 0.998 class newline 0.009 n=5760 tokens ['URE', ' Teen', ' *', ' Stranger', ' Author', '\n']
    r.6.0.0: repl 0.996 class newline 0.024 n=864 tokens ['s', ' Teen', 's', ' Oracle', '\n', 'H']
    r.6.0.1: repl 0.445 class newline 0.032 n=864 tokens ['231', '3', '0', '53', '40', '6']
    r.6.0.2: repl 0.333 class newline 0.008 n=864 tokens [' Letters', '96', ':', '5', '7', '231']
    r.6.0.3: repl 0.093 class newline 0.009 n=864 tokens [' War', ':', ' ', ' January', ',', ' the']
