[bqrunner] started 21:20:51
[bqrunner] 16:23:17 running bilin18_canary2
[bqrunner] 16:23:33 bilin18_canary2 exit=0
[bqrunner] 16:27:13 running newline_pair_quote
[bqrunner] 16:28:08 newline_pair_quote exit=0
[bqrunner] 16:43:08 running newline_bill
[bqrunner] 16:44:28 newline_bill exit=0
[bqrunner] 16:53:48 running bilin18_canary2
[bqrunner] 16:54:04 bilin18_canary2 exit=0
[bqrunner] 16:57:44 running newline_crew_screen
[bqrunner] 16:59:33 newline_crew_screen exit=0
[bqrunner] 17:12:34 running newline_crews
[bqrunner] 17:14:11 newline_crews exit=0
[bqrunner] 17:24:12 running bilin18_canary2
[bqrunner] 17:24:27 bilin18_canary2 exit=0
[bqrunner] 17:27:47 running quote_digit_screen
[bqrunner] 17:29:14 quote_digit_screen exit=0
[bqrunner] 17:42:54 running bill_fresh_cert
[bqrunner] 17:45:11 bill_fresh_cert exit=0
[bqrunner] 17:54:31 running bilin18_canary2
[bqrunner] 17:54:48 bilin18_canary2 exit=0
[bqrunner] 17:56:48 running mlp4_reads
[bqrunner] 17:58:26 mlp4_reads exit=0
[bqrunner] 17:59:06 running mlp4_bow
[bqrunner] 18:00:16 mlp4_bow exit=0
[bqrunner2] started 18:02:25
[bqrunner] 18:03:56 running mlp4_from_inputs
[bqrunner] 18:05:30 mlp4_from_inputs exit=0
[bqrunner2] 18:13:45 running mlp4_weight_tensor
[bqrunner2] 18:14:39 mlp4_weight_tensor exit=0
[bqrunner] 18:15:50 running mids_reads
[bqrunner] 18:19:25 mids_reads exit=0
[bqrunner] 18:25:06 running bilin18_canary2
[bqrunner] 18:25:22 bilin18_canary2 exit=0
[bqrunner] 18:28:42 running reads_exact
[bqrunner] 18:33:35 reads_exact exit=0
[bqrunner] 18:42:55 running mlp4_lin4
[bqrunner] 18:43:53 mlp4_lin4 exit=1
[bqrunner] 18:55:33 running bilin18_canary2
[bqrunner] 18:55:50 bilin18_canary2 exit=0
[bqrunner] 18:57:10 running mlp4_lin4
[bqrunner] 18:58:33 mlp4_lin4 exit=0
[bqrunner] 19:12:53 running mlp4_quad
[bqrunner] 19:14:47 mlp4_quad exit=0
[bqrunner] 19:26:07 running bilin18_canary2
[bqrunner] 19:26:23 bilin18_canary2 exit=0
[bqrunner] 19:28:03 running mlp4_quad_curve
[bqrunner] 19:30:42 mlp4_quad_curve exit=0
[bqrunner2] 19:31:59 running weight_tensor_chain
[bqrunner2] 19:32:04 weight_tensor_chain exit=0
[bqrunner] 19:43:02 running mlp4_squares
[bqrunner] 19:45:23 mlp4_squares exit=0
[bqrunner2] 19:55:44 running optimal_ablation
[bqrunner] 19:56:23 running bilin18_canary2
[bqrunner] 19:56:51 bilin18_canary2 exit=0
[bqrunner] 19:57:11 running mlp5_ladder
[bqrunner] 19:57:43 mlp5_ladder exit=134
[bqrunner2] 19:58:18 optimal_ablation exit=0
[bqrunner2] 20:02:18 running optimal_ablation_all
[bqrunner] 20:12:03 running mlp5_ladder
[bqrunner] 20:14:58 mlp5_ladder exit=0
[bqrunner2] 20:16:29 optimal_ablation_all exit=143
[bqrunner2] 20:16:49 running optimal_ablation_all
[bqrunner] 20:26:58 running bilin18_canary2
[bqrunner] 20:27:29 bilin18_canary2 exit=0
[bqrunner] 20:31:09 running mlp6_ladder
[bqrunner] 20:34:09 mlp6_ladder exit=0
[bqrunner] 20:35:09 running mlp4_jointdiag
[bqrunner] 20:41:29 mlp4_jointdiag exit=0
[bqrunner] 20:41:49 running mlp2_ladder
[bqrunner] 20:44:38 mlp2_ladder exit=0
[bqrunner] 20:44:38 running mlp1_residual_ladder
[bqrunner] 20:47:27 mlp1_residual_ladder exit=0
[bqrunner] 20:57:47 running bilin18_canary2
[bqrunner] 20:58:17 bilin18_canary2 exit=0
[bqrunner] 20:58:37 running mlp0_residual_ladder
[bqrunner] 21:01:26 mlp0_residual_ladder exit=0
[bqrunner] 21:11:06 running mlp2_rank_curve
[bqrunner] 21:16:04 mlp2_rank_curve exit=0
[bqrunner] 21:16:04 running mlp1_table_compress
[bqrunner] 21:19:40 mlp1_table_compress exit=0
[bqrunner] 21:19:40 running mlp0_downstream_clusters
[bqrunner] 21:27:05 mlp0_downstream_clusters exit=0
[bqrunner] 21:28:05 running mlp17_quad_ladder
[bqrunner] 21:30:48 mlp17_quad_ladder exit=0
[bqrunner] 21:30:48 running bilin18_canary2
[bqrunner] 21:31:18 bilin18_canary2 exit=0
[bqrunner] 21:42:58 running mlp1_planked_verify
[bqrunner2] 21:43:50 optimal_ablation_all exit=0
[bqrunner] 21:45:10 mlp1_planked_verify exit=1
[bqrunner] 21:57:50 running mlp1_planked_verify
[bqrunner] 21:59:25 mlp1_planked_verify exit=0
[bqrunner] 22:01:25 running bilin18_canary2
[bqrunner] 22:01:41 bilin18_canary2 exit=0
[bqrunner] 22:13:01 running attn_layer_ladder
[bqrunner] 22:14:03 attn_layer_ladder exit=0
[bqrunner] 22:28:03 running attn_kernel_sweep
[bqrunner] 22:30:35 attn_kernel_sweep exit=0
[bqrunner] 22:31:55 running bilin18_canary2
[bqrunner] 22:32:11 bilin18_canary2 exit=0
[bqrunner] 22:42:51 running attn_hybrid
[bqrunner] 22:44:13 attn_hybrid exit=0
[bqrunner] 22:58:13 running attn_composite
[bqrunner] 22:59:02 attn_composite exit=0
[bqrunner] 23:02:22 running bilin18_canary2
[bqrunner] 23:02:38 bilin18_canary2 exit=0
[bqrunner2] 23:11:31 running mlp7_ladder
[bqrunner] 23:11:38 running attn_composite2
[bqrunner2] 23:14:20 mlp7_ladder exit=0
[bqrunner] 23:14:23 attn_composite2 exit=0
[bqrunner2] 23:18:00 running attn10_roster_screen
[bqrunner] 23:18:03 running attn_composite3
[bqrunner2] 23:19:58 attn10_roster_screen exit=0
[bqrunner] 23:20:00 attn_composite3 exit=0
[bqrunner] 23:28:40 running attn_composite4
[bqrunner2] 23:28:58 running mlp9_ladder
[bqrunner2] 23:29:47 mlp9_ladder exit=1
[bqrunner] 23:30:17 attn_composite4 exit=0
[bqrunner] 23:32:57 running bilin18_canary2
[bqrunner] 23:33:13 bilin18_canary2 exit=0
[bqrunner2] 23:43:07 running mlp1_downstream_clusters
[bqrunner] 23:43:13 running mlp0_mlp1_weight_topk
[bqrunner] 23:44:29 mlp0_mlp1_weight_topk exit=0
[bqrunner2] 23:46:53 mlp1_downstream_clusters exit=0
[bqrunner2] 23:46:53 running mlp9_ladder
[bqrunner2] 23:48:41 mlp9_ladder exit=0
[bqrunner] 23:59:09 running mlp0_mlp1_weight_topk2
[bqrunner2] 23:59:21 running attn_composite5
[bqrunner] 00:00:15 mlp0_mlp1_weight_topk2 exit=0
[bqrunner2] 00:00:49 attn_composite5 exit=0
[bqrunner] 00:03:15 running bilin18_canary2
[bqrunner] 00:03:31 bilin18_canary2 exit=0
[bqrunner2] 00:13:49 running mlp1_deep_clusters
[bqrunner] 00:13:51 running attn_composite6
[bqrunner] 00:16:23 attn_composite6 exit=0
[bqrunner2] 00:16:36 mlp1_deep_clusters exit=0
[bqrunner2] 00:18:16 running mlp0_mlp1_edge_rank
[bqrunner] 00:18:23 running mlp0_mlp1_weight_topk3
[bqrunner] 00:20:46 mlp0_mlp1_weight_topk3 exit=0
[bqrunner2] 00:20:47 mlp0_mlp1_edge_rank exit=0
[bqrunner] 00:28:46 running mlp0_attn1_edge_rank
