candidate,prefix,position,residual_norm,target_norm,relative_error,largest_error_feature
original384,2,59,6.142909789225849,40.09314632880052,0.15321595713263214,0
original384,2,60,6.676279847526633,58.41680152941942,0.11428698033329292,1
original384,2,61,6.226784038282166,101.02449020752908,0.061636381688151304,0
original384,2,62,7.549010316541592,50.03533518501382,0.15087358341116122,0
original384,2,63,5.896762992773337,54.61282684363652,0.10797395655157205,0
original384,3,0,2.264403695694555,46.90991283812706,0.048271326009672544,2
original384,3,1,3.0572920267449897,46.38323535012002,0.06591372946857359,0
original384,3,2,5.877768993083049,48.31574478053404,0.12165328341272195,2
original384,3,3,1.6761156684932508,23.34144463425591,0.07180856604022627,0
original384,3,4,8.685437588419578,93.01241626965302,0.09337933511198719,0
original384,3,5,14.708160080165106,105.00589877395765,0.14006984609337828,0
original384,3,6,16.775346229764736,184.74021278786654,0.0908050606666104,0
original384,3,7,4.1650101794049315,50.87061668043368,0.08187457615403582,0
original384,3,8,9.413954657842684,84.0424363052548,0.11201429981931725,2
original384,3,9,5.0452076178240635,91.75460181723875,0.05498588101197749,2
original384,3,10,3.0716219905084827,22.503144845558303,0.13649745453754936,0
original384,3,11,4.0740131027805235,80.10235494357082,0.0508600915122972,2
original384,3,12,2.7686662259005144,189.2251523107353,0.014631597290797582,2
original384,3,13,2.0308442055823104,35.107814257927885,0.057845931126963124,1
original384,3,14,7.915314278327056,100.36561210235887,0.07886480351711046,0
original384,3,15,4.447848163248912,74.01088227391578,0.06009721849804918,1
original384,3,16,11.021282985032284,91.39578710844616,0.12058852310068649,0
original384,3,17,3.47563053391025,54.569552318034,0.0636917545823742,3
original384,3,18,5.441883423491655,73.46079065238374,0.07407874833858831,3
original384,3,19,6.34590365001524,163.56238398838443,0.038798062826388625,2
original384,3,20,2.805154410397049,95.31956531864236,0.029428946733230897,0
original384,3,21,9.20379911004823,180.75174515003056,0.05091955877055981,0
original384,3,22,2.1669836976760273,26.808320951284575,0.08083250352059784,5
original384,3,23,4.461896282052425,61.383312776440484,0.07268907591062672,2
original384,3,24,10.670660174364452,95.84898715198273,0.11132783445530357,0
original384,3,25,8.502308992733957,72.08449661316936,0.11794920395102879,2
original384,3,26,3.915245351961124,91.0107727464294,0.0430195814606434,1
original384,3,27,6.147014737355744,71.86007536411405,0.0855414457361602,0
original384,3,28,7.223856587654529,111.71235380102425,0.06466479616499045,0
original384,3,29,7.976014975425137,76.5510947898731,0.1041920432009325,0
original384,3,30,2.0921883136714476,48.85247187054425,0.04282666226625349,2
original384,3,31,7.7179156406401885,66.84779225648295,0.11545505663115897,0
original384,3,32,6.864891064278767,46.588330051867814,0.1473521600073652,0
original384,3,33,14.400089310117528,56.36707017747025,0.2554698916367167,0
original384,3,34,9.736706030228902,30.94024991728238,0.31469383913380233,0
original384,3,35,7.777115719721425,46.20892299155324,0.16830333226210537,0
original384,3,36,6.679217159151993,62.648722805753785,0.10661378013820516,0
original384,3,37,6.4213752446044,83.12889399741873,0.07724600840718263,0
original384,3,38,6.934243033557667,60.79439010618215,0.11406057403399344,2
original384,3,39,4.8098829454336975,37.38445031235992,0.12865998845095955,2
original384,3,40,3.641769325929446,37.31446096280597,0.09759672877385156,2
